Accession,Source Database,Name,Tax ID,Tax Name,Length
A0A1W2P872,reviewed,RNA-binding protein Nova-2,10090,Mus musculus,492
A0A1W2P884,reviewed,Centrosomal protein of 85 kDa-like,10090,Mus musculus,806
A0A286YEC0,reviewed,Ciliated left-right organizer metallopeptidase,10090,Mus musculus,699
A0A2R8VHF7,reviewed,Cation channel sperm-associated auxiliary subunit TMEM249,10090,Mus musculus,171
A0A338P6K9,reviewed,Glutamine and serine-rich protein 1,10090,Mus musculus,1788
A0A494BA31,reviewed,Anion exchange protein 4,10090,Mus musculus,952
A0A571BF63,reviewed,Ankyrin-repeat and fibronectin type III domain-containing 1,10090,Mus musculus,1286
A0A5F8MPU3,reviewed,Cation channel sperm-associated targeting subunit tau,10090,Mus musculus,2282
A0A5K7RLP0,reviewed,Meiosis initiator protein,10090,Mus musculus,589
A0A7N9VSG0,reviewed,ATPase family gene 2 protein homolog B,10090,Mus musculus,747
A0A804C8T0,reviewed,HUWE1-associated protein modifying stress responses 2,10090,Mus musculus,276
A0AUP1,reviewed,Coiled-coil domain-containing protein 112,10090,Mus musculus,442
A0AUV4,reviewed,Sperm motility kinase Y,10090,Mus musculus,508
A0JLY1,reviewed,Cilia- and flagella- associated protein 210,10090,Mus musculus,547
A0JNU3,reviewed,60 kDa lysophospholipase,10090,Mus musculus,564
A0JP43,reviewed,EF-hand calcium-binding domain-containing protein 5,10090,Mus musculus,1406
A0PJN4,reviewed,Ubiquitin-conjugating enzyme E2Q-like protein 1,10090,Mus musculus,161
A0PK84,reviewed,Palmitoyltransferase ZDHHC22,10090,Mus musculus,263
A1A535,reviewed,Ventricular zone-expressed PH domain-containing protein 1,10090,Mus musculus,833
A1A546,reviewed,Intestine-specific homeobox,10090,Mus musculus,240
A1A547,reviewed,Peptidoglycan recognition protein 3,10090,Mus musculus,347
A1A5B6,reviewed,TBC1 domain family member 25,10090,Mus musculus,742
A1E960,reviewed,Odontogenic ameloblast-associated protein,10090,Mus musculus,273
A1EGX6,reviewed,Fibrous sheath CABYR-binding protein,10090,Mus musculus,1074
A1IGU4,reviewed,Rho guanine nucleotide exchange factor 37,10090,Mus musculus,676
A1KXC4,reviewed,Fas apoptotic inhibitory molecule 3,10090,Mus musculus,422
A1L0T3,reviewed,Scavenger receptor cysteine-rich domain-containing group B protein,10090,Mus musculus,586
A1L314,reviewed,Macrophage-expressed gene 1 protein,10090,Mus musculus,713
A1L317,reviewed,"Keratin, type I cytoskeletal 24",10090,Mus musculus,512
A1L3C1,reviewed,Golgi-associated RAB2 interactor protein 5A,10090,Mus musculus,212
A1L3P4,reviewed,Sodium/hydrogen exchanger 6,10090,Mus musculus,702
A1L3T7,reviewed,RIPOR family member 3,10090,Mus musculus,938
A1Y9I9,reviewed,Transmembrane O-methyltransferase homolog,10090,Mus musculus,258
A1YIY0,reviewed,Fc receptor-like protein 6,10090,Mus musculus,268
A1Z198,reviewed,"NACHT, LRR and PYD domains-containing protein 1b allele 2",10090,Mus musculus,1177
A2A259,reviewed,Polycystin-2-like protein 1,10090,Mus musculus,760
A2A3V1,reviewed,A-kinase anchor protein 17B,10090,Mus musculus,959
A2A3V2,reviewed,Solute carrier family 25 member 43,10090,Mus musculus,341
A2A432,reviewed,Cullin-4B,10090,Mus musculus,970
A2A4P0,reviewed,ATP-dependent RNA helicase DHX8,10090,Mus musculus,1244
A2A559,reviewed,Post-GPI attachment to proteins factor 3,10090,Mus musculus,320
A2A591,reviewed,Keratin-associated protein 3-1,10090,Mus musculus,98
A2A5E6,reviewed,Zinc finger protein 385C,10090,Mus musculus,429
A2A5I3,reviewed,Peptidase inhibitor R3HDML,10090,Mus musculus,253
A2A5K6,reviewed,Zinc finger protein 335,10090,Mus musculus,1337
A2A5N8,reviewed,Lethal(3)malignant brain tumor-like protein 1,10090,Mus musculus,826
A2A5R2,reviewed,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,10090,Mus musculus,1792
A2A5X4,reviewed,Keratin-associated protein 29-1,10090,Mus musculus,342
A2A5X5,reviewed,Keratin-associated protein 16-1,10090,Mus musculus,502
A2A5Z6,reviewed,E3 ubiquitin-protein ligase SMURF2,10090,Mus musculus,748
A2A690,reviewed,Protein TANC2,10090,Mus musculus,1994
A2A699,reviewed,Protein FAM171A2,10090,Mus musculus,822
A2A6A1,reviewed,G patch domain-containing protein 8,10090,Mus musculus,1505
A2A6C4,reviewed,Signal peptide peptidase-like 2C,10090,Mus musculus,690
A2A6H3,reviewed,F-box only protein 47,10090,Mus musculus,451
A2A6M5,reviewed,Calcium-binding and coiled-coil domain-containing protein 2,10090,Mus musculus,331
A2A6Q5,reviewed,Cell division cycle protein 27 homolog,10090,Mus musculus,825
A2A6T1,reviewed,Cerebellar degeneration-related protein 2-like,10090,Mus musculus,465
A2A761,reviewed,Zinc finger protein 69,10090,Mus musculus,587
A2A791,reviewed,Zinc finger MYM-type protein 4,10090,Mus musculus,1549
A2A7Q9,reviewed,E3 ubiquitin-protein ligase RNF19B,10090,Mus musculus,732
A2A7S8,reviewed,Uncharacterized protein KIAA1522,10090,Mus musculus,1013
A2A7V7,reviewed,CMRF35-like molecule 6,10090,Mus musculus,229
A2A7Y5,reviewed,Migration and invasion-inhibitory protein,10090,Mus musculus,387
A2A7Z8,reviewed,Arylacetamide deacetylase-like 3,10090,Mus musculus,408
A2A825,reviewed,Ciliogenesis and planar polarity effector 2,10090,Mus musculus,258
A2A863,reviewed,Integrin beta-4,10090,Mus musculus,1818
A2A870,reviewed,Fas-binding factor 1,10090,Mus musculus,1173
A2A884,reviewed,Transcription factor HIVEP3,10090,Mus musculus,2348
A2A891,reviewed,Calmodulin-binding transcription activator 1,10090,Mus musculus,1682
A2A8L1,reviewed,Chromodomain-helicase-DNA-binding protein 5,10090,Mus musculus,1946
A2A8L5,reviewed,Receptor-type tyrosine-protein phosphatase F,10090,Mus musculus,1898
A2A8T7,reviewed,Testis-expressed protein 38,10090,Mus musculus,201
A2A8U2,reviewed,Transmembrane protein 201,10090,Mus musculus,664
A2A8Z1,reviewed,Oxysterol-binding protein-related protein 9,10090,Mus musculus,736
A2A935,reviewed,Histone-lysine N-methyltransferase PRDM16,10090,Mus musculus,1275
A2A974,reviewed,Cytochrome P450 4A12B,10090,Mus musculus,508
A2A995,reviewed,FYN-binding protein 2,10090,Mus musculus,729
A2A9A2,reviewed,Doublesex- and mab-3-related transcription factor A2,10090,Mus musculus,531
A2A9C3,reviewed,KICSTOR complex protein SZT2,10090,Mus musculus,3431
A2A9F4,reviewed,Keratinocyte differentiation factor 1,10090,Mus musculus,397
A2A9G7,reviewed,Protein shisa-like-2A,10090,Mus musculus,189
A2A9I7,reviewed,Doublesex- and mab-3-related transcription factor B1,10090,Mus musculus,359
A2A9Q0,reviewed,Fibronectin type III domain-containing protein 10,10090,Mus musculus,223
A2A9R3,reviewed,Melanoma-associated antigen B4,10090,Mus musculus,556
A2A9T0,reviewed,TANK-binding kinase 1-binding protein 1,10090,Mus musculus,611
A2AA28,reviewed,Histone-arginine methyltransferase METTL23,10090,Mus musculus,253
A2AAE1,reviewed,Bridge-like lipid transfer protein family member 1,10090,Mus musculus,5005
A2AAJ9,reviewed,Obscurin,10090,Mus musculus,8886
A2AAX3,reviewed,Kelch-like protein 15,10090,Mus musculus,604
A2AAY5,reviewed,SH3 and PX domain-containing protein 2B,10090,Mus musculus,908
A2AB59,reviewed,Rho GTPase-activating protein 27,10090,Mus musculus,869
A2ABU4,reviewed,Myomesin-3,10090,Mus musculus,1439
A2ABV5,reviewed,Mediator of RNA polymerase II transcription subunit 14,10090,Mus musculus,1459
A2AC93,reviewed,Dynein axonemal intermediate chain 2,10090,Mus musculus,623
A2ACG1,reviewed,TLD domain-containing protein 2,10090,Mus musculus,198
A2ACJ2,reviewed,Fanconi anemia core complex-associated protein 100,10090,Mus musculus,879
A2ACP1,reviewed,Tetratricopeptide repeat protein 39A,10090,Mus musculus,578
A2AD83,reviewed,FERM domain-containing protein 7,10090,Mus musculus,703
A2ADA5,reviewed,tRNA pseudouridine synthase-like 1,10090,Mus musculus,291
A2ADF7,reviewed,Solute carrier family 25 member 34,10090,Mus musculus,318
A2ADU8,reviewed,Diacylglycerol O-acyltransferase 2-like protein 6,10090,Mus musculus,337
A2ADU9,reviewed,Acyl-CoA wax alcohol acyltransferase 1,10090,Mus musculus,328
A2ADY9,reviewed,Protein DDI1 homolog 2,10090,Mus musculus,399
A2ADZ8,reviewed,IQ domain-containing protein C,10090,Mus musculus,418
A2AE20,reviewed,Sperm acrosome-associated protein 5,10090,Mus musculus,160
A2AE42,reviewed,Probable transmembrane reductase CYB561D1,10090,Mus musculus,229
A2AED3,reviewed,Fibronectin type III domain-containing protein 7,10090,Mus musculus,737
A2AEP0,reviewed,Odorant-binding protein 1b,10090,Mus musculus,171
A2AEV7,reviewed,Coiled-coil domain-containing protein 120,10090,Mus musculus,629
A2AF47,reviewed,Dedicator of cytokinesis protein 11,10090,Mus musculus,2073
A2AF53,reviewed,Transmembrane protein 185A,10090,Mus musculus,350
A2AFE9,reviewed,Proline-rich protein 32,10090,Mus musculus,284
A2AFR3,reviewed,FERM and PDZ domain-containing protein 4,10090,Mus musculus,1320
A2AFS3,reviewed,Endosome/lysosome-associated apoptosis and autophagy regulator 1,10090,Mus musculus,1009
A2AG06,reviewed,Meiosis-specific coiled-coil domain-containing protein MEIOC,10090,Mus musculus,965
A2AG50,reviewed,MAP7 domain-containing protein 2,10090,Mus musculus,781
A2AG58,reviewed,BCLAF1 and THRAP3 family member 3,10090,Mus musculus,752
A2AGA4,reviewed,Rhomboid-related protein 2,10090,Mus musculus,302
A2AGB2,reviewed,Uncharacterized protein C1orf87 homolog,10090,Mus musculus,545
A2AGH6,reviewed,Mediator of RNA polymerase II transcription subunit 12,10090,Mus musculus,2190
A2AGL3,reviewed,Ryanodine receptor 3,10090,Mus musculus,4863
A2AGT5,reviewed,Cytoskeleton-associated protein 5,10090,Mus musculus,2032
A2AGX3,reviewed,PR domain-containing protein 11,10090,Mus musculus,565
A2AH22,reviewed,Activating molecule in BECN1-regulated autophagy protein 1,10090,Mus musculus,1300
A2AHC3,reviewed,Calmodulin-regulated spectrin-associated protein 1,10090,Mus musculus,1581
A2AHG0,reviewed,Leucine zipper putative tumor suppressor 3,10090,Mus musculus,700
A2AHJ4,reviewed,Bromodomain and WD repeat-containing protein 3,10090,Mus musculus,1799
A2AHL1,reviewed,Anoctamin-3,10090,Mus musculus,981
A2AI05,reviewed,NADPH-dependent diflavin oxidoreductase 1,10090,Mus musculus,598
A2AI08,reviewed,Taperin,10090,Mus musculus,749
A2AIG8,reviewed,1-aminocyclopropane-1-carboxylate synthase-like protein 1,10090,Mus musculus,502
A2AIL4,reviewed,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",10090,Mus musculus,333
A2AIP0,reviewed,Ciliary microtubule inner protein 2B,10090,Mus musculus,273
A2AIR5,reviewed,"Glutamate receptor ionotropic, NMDA 3A",10090,Mus musculus,1135
A2AIV2,reviewed,Protein virilizer homolog,10090,Mus musculus,1811
A2AIV8,reviewed,Caspase recruitment domain-containing protein 9,10090,Mus musculus,536
A2AIW0,reviewed,Endosome-associated-trafficking regulator 1,10090,Mus musculus,432
A2AJ15,reviewed,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",10090,Mus musculus,658
A2AJ76,reviewed,Hemicentin-2,10090,Mus musculus,5100
A2AJ77,reviewed,PR domain zinc finger protein 12,10090,Mus musculus,365
A2AJ88,reviewed,Patatin-like phospholipase domain-containing protein 7,10090,Mus musculus,1352
A2AJA7,reviewed,Apical endosomal glycoprotein,10090,Mus musculus,1228
A2AJA9,reviewed,Apical junction component 1 homolog,10090,Mus musculus,974
A2AJB1,reviewed,Coiled-coil domain-containing protein 183,10090,Mus musculus,534
A2AJB2,reviewed,Transmembrane protein 141,10090,Mus musculus,108
A2AJB7,reviewed,Epididymal-specific lipocalin-5,10090,Mus musculus,192
A2AJI0,reviewed,MAP7 domain-containing protein 1,10090,Mus musculus,846
A2AJK6,reviewed,Chromodomain-helicase-DNA-binding protein 7,10090,Mus musculus,2986
A2AJL3,reviewed,FGGY carbohydrate kinase domain-containing protein,10090,Mus musculus,552
A2AJN7,reviewed,Solute carrier family 4 member 11,10090,Mus musculus,862
A2AJQ3,reviewed,Probable C-mannosyltransferase DPY19L4,10090,Mus musculus,722
A2AJT4,reviewed,Arginine/serine-rich protein PNISR,10090,Mus musculus,805
A2AJX4,reviewed,MAM and LDL-receptor class A domain-containing protein 1,10090,Mus musculus,2123
A2AKB4,reviewed,FERM and PDZ domain-containing protein 1,10090,Mus musculus,1549
A2AKB9,reviewed,DDB1- and CUL4-associated factor 10,10090,Mus musculus,566
A2AKE7,reviewed,Actin-like protein 10,10090,Mus musculus,346
A2AKG8,reviewed,Focadhesin,10090,Mus musculus,1798
A2AKK5,reviewed,Acyl-coenzyme A amino acid N-acyltransferase 1,10090,Mus musculus,416
A2AKM2,reviewed,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 4,10090,Mus musculus,232
A2AKQ0,reviewed,Nucleotide sugar transporter SLC35D1,10090,Mus musculus,355
A2AKQ8,reviewed,Intraflagellar transport protein 70A2,10090,Mus musculus,664
A2AKX3,reviewed,Probable helicase senataxin,10090,Mus musculus,2646
A2AKY4,reviewed,Zinc finger protein 804A,10090,Mus musculus,1200
A2AL36,reviewed,Centriolin,10090,Mus musculus,2334
A2ALI5,reviewed,Adherens junction-associated protein 1,10090,Mus musculus,412
A2ALK8,reviewed,Tyrosine-protein phosphatase non-receptor type 3,10090,Mus musculus,913
A2ALS5,reviewed,Rap1 GTPase-activating protein 1,10090,Mus musculus,663
A2ALU4,reviewed,Protein Shroom2,10090,Mus musculus,1481
A2ALV5,reviewed,Protein shortage in chiasmata 1 ortholog,10090,Mus musculus,1481
A2ALW5,reviewed,DnaJ homolog subfamily C member 25,10090,Mus musculus,357
A2AM05,reviewed,Centlein,10090,Mus musculus,1397
A2AM29,reviewed,Protein AF-9,10090,Mus musculus,569
A2AMM0,reviewed,Caveolae-associated protein 4,10090,Mus musculus,362
A2AMT1,reviewed,Filensin,10090,Mus musculus,669
A2AMZ4,reviewed,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,10090,Mus musculus,74
A2AN08,reviewed,E3 ubiquitin-protein ligase UBR4,10090,Mus musculus,5180
A2ANU3,reviewed,Synapse differentiation-inducing gene protein 1,10090,Mus musculus,258
A2ANX9,reviewed,Zinc finger protein 711,10090,Mus musculus,761
A2AP18,reviewed,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",10090,Mus musculus,1501
A2APA5,reviewed,Protein FAM209,10090,Mus musculus,170
A2APB8,reviewed,Targeting protein for Xklp2,10090,Mus musculus,745
A2APC3,reviewed,Probable tubulin polyglutamylase TTLL9,10090,Mus musculus,461
A2APF3,reviewed,Transcriptional repressor CTCFL,10090,Mus musculus,636
A2APT9,reviewed,Kelch domain-containing protein 7A,10090,Mus musculus,773
A2APV2,reviewed,Formin-like protein 2,10090,Mus musculus,1086
A2APX8,reviewed,Sodium channel protein type 1 subunit alpha,10090,Mus musculus,2009
A2APY7,reviewed,"Arginine-hydroxylase NDUFAF5, mitochondrial",10090,Mus musculus,343
A2AQ07,reviewed,Tubulin beta-1 chain,10090,Mus musculus,451
A2AQ14,reviewed,Protein Mis18-beta,10090,Mus musculus,241
A2AQ19,reviewed,RNA polymerase-associated protein RTF1 homolog,10090,Mus musculus,715
A2AQ25,reviewed,Sickle tail protein,10090,Mus musculus,1946
A2AQH4,reviewed,BCL-6 corepressor-like protein 1,10090,Mus musculus,1781
A2AQP0,reviewed,Myosin-7B,10090,Mus musculus,1941
A2AQW0,reviewed,Mitogen-activated protein kinase kinase kinase 15,10090,Mus musculus,1331
A2AR02,reviewed,Peptidyl-prolyl cis-trans isomerase G,10090,Mus musculus,752
A2AR50,reviewed,Ras-specific guanine nucleotide-releasing factor RalGPS1,10090,Mus musculus,585
A2AR95,reviewed,Low-density lipoprotein receptor class A domain-containing protein 3,10090,Mus musculus,345
A2ARA8,reviewed,Integrin alpha-8,10090,Mus musculus,1062
A2ARI4,reviewed,Leucine-rich repeat-containing G-protein coupled receptor 4,10090,Mus musculus,951
A2ARJ3,reviewed,Transmembrane protein 236,10090,Mus musculus,344
A2ARK0,reviewed,Protein FAM83C,10090,Mus musculus,776
A2ARM1,reviewed,Protein PAT1 homolog 2,10090,Mus musculus,529
A2ARP1,reviewed,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1,10090,Mus musculus,1436
A2ARP9,reviewed,Cation channel sperm-associated protein 2,10090,Mus musculus,588
A2ARS0,reviewed,Ankyrin repeat domain-containing protein 63,10090,Mus musculus,390
A2ARV4,reviewed,Low-density lipoprotein receptor-related protein 2,10090,Mus musculus,4660
A2ARZ3,reviewed,Fibrous sheath-interacting protein 2,10090,Mus musculus,6995
A2AS55,reviewed,Ankyrin repeat domain-containing protein 16,10090,Mus musculus,361
A2AS89,reviewed,"Guanidino acid hydrolase, mitochondrial",10090,Mus musculus,358
A2ASA8,reviewed,"Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1",10090,Mus musculus,547
A2ASI5,reviewed,Sodium channel protein type 3 subunit alpha,10090,Mus musculus,1947
A2ASQ1,reviewed,Agrin,10090,Mus musculus,1950
A2ASS6,reviewed,Titin,10090,Mus musculus,35213
A2ASZ8,reviewed,Mitochondrial adenyl nucleotide antiporter SLC25A25,10090,Mus musculus,469
A2AT37,reviewed,Regulator of nonsense transcripts 2,10090,Mus musculus,1269
A2ATD1,reviewed,Isthmin-1,10090,Mus musculus,454
A2ATU0,reviewed,2-oxoadipate dehydrogenase complex component E1,10090,Mus musculus,921
A2AU37,reviewed,Double-strand-break repair protein rad21-like protein 1,10090,Mus musculus,552
A2AU72,reviewed,Armadillo repeat-containing protein 3,10090,Mus musculus,881
A2AUC9,reviewed,Kelch-like protein 41,10090,Mus musculus,606
A2AUQ7,reviewed,"N-acetyllactosaminide alpha-1,3-galactosyltransferase-like 1",10090,Mus musculus,319
A2AUU0,reviewed,"tRNA N(3)-methylcytidine methyltransferase METTL8, mitochondrial",10090,Mus musculus,281
A2AUY4,reviewed,Bromodomain adjacent to zinc finger domain protein 2B,10090,Mus musculus,2123
A2AV25,reviewed,Fibrinogen C domain-containing protein 1,10090,Mus musculus,459
A2AVA0,reviewed,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",10090,Mus musculus,3567
A2AVJ5,reviewed,Proline-rich protein 5-like,10090,Mus musculus,370
A2AVQ5,reviewed,Ciliary microtubule-associated protein 2,10090,Mus musculus,414
A2AVR2,reviewed,Maestro heat-like repeat-containing protein family member 7,10090,Mus musculus,1279
A2AVZ9,reviewed,Equilibrative nucleobase transporter 1,10090,Mus musculus,502
A2AWA9,reviewed,Rab GTPase-activating protein 1,10090,Mus musculus,1064
A2AWL7,reviewed,MAX gene-associated protein,10090,Mus musculus,3003
A2AWP0,reviewed,Baculoviral IAP repeat-containing protein 7,10090,Mus musculus,285
A2AWP8,reviewed,Rho guanine nucleotide exchange factor 10-like protein,10090,Mus musculus,1280
A2AWR3,reviewed,Lysosomal cholesterol signaling protein,10090,Mus musculus,868
A2AWT3,reviewed,Ataxin-7-like protein 3,10090,Mus musculus,347
A2AX52,reviewed,Collagen alpha-4(VI) chain,10090,Mus musculus,2309
A2BDX3,reviewed,Adenylyltransferase and sulfurtransferase MOCS3,10090,Mus musculus,460
A2BDX4,reviewed,Potassium voltage-gated channel subfamily G member 1,10090,Mus musculus,514
A2BE28,reviewed,Ribosomal biogenesis protein LAS1L,10090,Mus musculus,776
A2BFL2,reviewed,Protein zyg-11 homolog A,10090,Mus musculus,627
A2BGH0,reviewed,BPI fold-containing family B member 4,10090,Mus musculus,617
A2BH40,reviewed,AT-rich interactive domain-containing protein 1A,10090,Mus musculus,2283
A2BIM8,reviewed,Major urinary protein 18,10090,Mus musculus,181
A2CE44,reviewed,Zinc finger X-linked protein ZXDB,10090,Mus musculus,873
A2CG49,reviewed,Kalirin,10090,Mus musculus,2964
A2CG63,reviewed,AT-rich interactive domain-containing protein 4B,10090,Mus musculus,1314
A2CI98,reviewed,Dystrotelin,10090,Mus musculus,653
A2KF29,reviewed,Sperm motility kinase Tcr mutant form,10090,Mus musculus,484
A2RRY8,reviewed,Spermatogenesis-associated serine-rich protein 1,10090,Mus musculus,269
A2RSJ4,reviewed,Bridge-like lipid transfer protein family member 3B,10090,Mus musculus,1457
A2RSQ0,reviewed,DENN domain-containing protein 5B,10090,Mus musculus,1274
A2RSQ1,reviewed,Beta-galactosidase-1-like protein 3,10090,Mus musculus,649
A2RST1,reviewed,Microsomal glutathione S-transferase 2,10090,Mus musculus,147
A2RSX4,reviewed,Protein STPG3,10090,Mus musculus,306
A2RSX7,reviewed,tRNA wybutosine-synthesizing protein 5,10090,Mus musculus,315
A2RSY1,reviewed,KAT8 regulatory NSL complex subunit 3,10090,Mus musculus,903
A2RSY6,reviewed,TRMT1-like protein,10090,Mus musculus,728
A2RT60,reviewed,Serine protease HTRA4,10090,Mus musculus,483
A2RT62,reviewed,F-box/LRR-repeat protein 16,10090,Mus musculus,479
A2RT67,reviewed,DENN domain-containing protein 3,10090,Mus musculus,1274
A2RT91,reviewed,Ankyrin and armadillo repeat-containing protein,10090,Mus musculus,1465
A2RTF1,reviewed,Cation channel sperm-associated auxiliary subunit beta,10090,Mus musculus,1109
A2RTL5,reviewed,Arginine/serine-rich coiled-coil protein 2,10090,Mus musculus,376
A2TJV2,reviewed,Paralemmin-3,10090,Mus musculus,734
A2VDH3,reviewed,Leucine-rich repeat-containing protein 38,10090,Mus musculus,298
A3FIN4,reviewed,Phospholipid-transporting ATPase FetA,10090,Mus musculus,1183
A3KFM7,reviewed,Chromodomain-helicase-DNA-binding protein 6,10090,Mus musculus,2711
A3KFU9,reviewed,Protein dispatched homolog 3,10090,Mus musculus,1347
A3KFX0,reviewed,Cytosolic 5'-nucleotidase 1A,10090,Mus musculus,365
A3KG59,reviewed,Xaa-Arg dipeptidase,10090,Mus musculus,431
A3KGA4,reviewed,Transcription elongation factor A protein-like 7,10090,Mus musculus,98
A3KGB4,reviewed,TBC1 domain family member 8B,10090,Mus musculus,1114
A3KGF7,reviewed,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",10090,Mus musculus,1181
A3KGF9,reviewed,Coiled-coil domain-containing protein 9B,10090,Mus musculus,545
A3KGK3,reviewed,Fer-1-like protein 4,10090,Mus musculus,1992
A3KGS3,reviewed,Ral GTPase-activating protein subunit alpha-2,10090,Mus musculus,1872
A3KGV1,reviewed,Outer dense fiber protein 2,10090,Mus musculus,830
A3KGW5,reviewed,Inactive glycosyltransferase 25 family member 3,10090,Mus musculus,592
A3KMN5,reviewed,Protein Largen,10090,Mus musculus,304
A3KMP2,reviewed,Tetratricopeptide repeat protein 38,10090,Mus musculus,465
A4FUP9,reviewed,Glycosyltransferase 1 domain-containing protein 1,10090,Mus musculus,346
A4FUQ5,reviewed,Formyl peptide receptor-related sequence 4,10090,Mus musculus,323
A4Q9E4,reviewed,Probable tubulin polyglutamylase TTLL2,10090,Mus musculus,540
A4Q9E5,reviewed,Tubulin monoglycylase TTLL3,10090,Mus musculus,927
A4Q9E8,reviewed,Tubulin polyglutamylase TTLL6,10090,Mus musculus,822
A4Q9F0,reviewed,Tubulin polyglutamylase TTLL7,10090,Mus musculus,912
A4Q9F1,reviewed,Protein monoglycylase TTLL8,10090,Mus musculus,832
A4Q9F3,reviewed,Protein polyglycylase TTLL10,10090,Mus musculus,704
A4Q9F4,reviewed,Tubulin polyglutamylase TTLL11,10090,Mus musculus,727
A4Q9F6,reviewed,Tubulin polyglutamylase TTLL13,10090,Mus musculus,804
A4QPC6,reviewed,Butyrophilin subfamily 2 member A2,10090,Mus musculus,514
A4UUI3,reviewed,Guanylate-binding protein 4,10090,Mus musculus,631
A6BLY7,reviewed,"Keratin, type I cytoskeletal 28",10090,Mus musculus,462
A6H584,reviewed,Collagen alpha-5(VI) chain,10090,Mus musculus,2640
A6H5X4,reviewed,PHD finger protein 11,10090,Mus musculus,337
A6H5Y1,reviewed,M-phase phosphoprotein 9,10090,Mus musculus,1114
A6H5Y3,reviewed,Methionine synthase,10090,Mus musculus,1253
A6H5Z3,reviewed,Exocyst complex component 6B,10090,Mus musculus,810
A6H603,reviewed,NACHT domain- and WD repeat-containing protein 1,10090,Mus musculus,1563
A6H611,reviewed,Mitochondrial intermediate peptidase,10090,Mus musculus,711
A6H619,reviewed,PHD and RING finger domain-containing protein 1,10090,Mus musculus,1682
A6H630,reviewed,Damage-control phosphatase ARMT1,10090,Mus musculus,439
A6H639,reviewed,Dynein regulatory complex subunit 5,10090,Mus musculus,498
A6H666,reviewed,"Cytochrome c oxidase subunit 8C, mitochondrial",10090,Mus musculus,72
A6H684,reviewed,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein MGAT4E",10090,Mus musculus,439
A6H687,reviewed,SAC3 domain-containing protein 1,10090,Mus musculus,427
A6H690,reviewed,IQ and AAA domain-containing protein 1-like,10090,Mus musculus,825
A6H694,reviewed,Leucine-rich repeat-containing protein 63,10090,Mus musculus,638
A6H6A4,reviewed,Leucine-rich repeat and IQ domain-containing protein 4,10090,Mus musculus,596
A6H6A9,reviewed,Rab GTPase-activating protein 1-like,10090,Mus musculus,815
A6H6E2,reviewed,Multimerin-2,10090,Mus musculus,943
A6H6E9,reviewed,Tetratricopeptide repeat protein 23-like,10090,Mus musculus,458
A6H6Q4,reviewed,Tektin bundle-interacting protein 1,10090,Mus musculus,206
A6H6T1,reviewed,Serine protease 40,10090,Mus musculus,365
